Unique Semantic Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Linked Platform,Linked Feature,Status,Context,Airtable Record ID,Sort (String)
[Spotify] Offline Mode,reckGlf5ZT6blrh9e,67ffc3231d938da45ddcde24,67fec1eb88ef3de9adf44551,68014b4d10678ecd0392806d,false,false,Thu Apr 17 2025 18:41:17 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 16:32:57 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 16:32:57 GMT+0000 (Coordinated Universal Time),spotify,recAQeCfXGS85DzfQ,Partial,Premium Subscription Required,recAZl8yBwWEbwl3H,008
[Spotify] Ad-Free Interface,recy4ux9wtbmewG9c,67ffc3231d938da45ddcde24,67fec1eb88ef3de9adf44551,68014b37eff90399da4ec983,false,false,Thu Apr 17 2025 18:40:55 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 16:32:59 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 16:32:59 GMT+0000 (Coordinated Universal Time),spotify,recSJfccCZx507pog,Partial,Premium Subscription Required,rec0p0KteCdPzFdV7,003
[Soundcloud] Decentralized,rec7x9TZoVzKCFwt8,67ffc3231d938da45ddcde24,67fec1eb88ef3de9adf44551,68014b522dedcb2174f6e988,false,false,Thu Apr 17 2025 18:41:22 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 16:33:00 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 16:33:00 GMT+0000 (Coordinated Universal Time),soundcloud,recLYyQOJiPcoEmkQ,No,,recVNpfC6yrYEcZuw,014
[Spotify] Direct Messages,rectLpdxJzXa0XIK7,67ffc3231d938da45ddcde24,67fec1eb88ef3de9adf44551,68014b2737954b375ba167b8,false,false,Thu Apr 17 2025 18:40:39 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 16:33:01 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 16:33:01 GMT+0000 (Coordinated Universal Time),spotify,recZ0h2evxkEYgYsl,No,,recCThbaiXq75uMRp,006
[Soundcloud] Direct UGC Upload,rechScGaLTLlOfDqf,67ffc3231d938da45ddcde24,67fec1eb88ef3de9adf44551,68014b5b0e489b1b31cec923,false,false,Thu Apr 17 2025 18:41:31 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 16:33:04 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 16:33:04 GMT+0000 (Coordinated Universal Time),soundcloud,rech5QRYRwpcWrNc6,Yes,,recqha7Fh9qNjCkph,012
[Soundcloud] Streaming Quality,recq2cGh83ML2yUNB,67ffc3231d938da45ddcde24,67fec1eb88ef3de9adf44551,68014b0e2c1ed2ff9fa82eea,false,false,Thu Apr 17 2025 18:40:14 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 16:33:05 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 16:33:05 GMT+0000 (Coordinated Universal Time),soundcloud,rec92kLuzA4g8z2wT,,128 kbps,recA8sPegZPSVC6p5,001
[Audius Music] Gated Content,recFH0317VV0q8bRw,67ffc3231d938da45ddcde24,67fec1eb88ef3de9adf44551,68014b67dd110a4737dcf34a,false,false,Thu Apr 17 2025 18:41:43 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 16:33:07 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 16:33:07 GMT+0000 (Coordinated Universal Time),audiusmusic,recnqk9KMsEVMemTK,Yes,,recdWWIi9fclaYOGn,010
[Soundcloud] Comments,recy3seknpGTmKdpj,67ffc3231d938da45ddcde24,67fec1eb88ef3de9adf44551,68014b1e65ebd87ceb7bcf29,false,false,Thu Apr 17 2025 18:40:30 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 16:33:10 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 16:33:10 GMT+0000 (Coordinated Universal Time),soundcloud,recTza6bYF0gEoXVA,Yes,,recbdaU6T32q99MuK,005
[Audius Music] Unlimited Uploads,rec9OUXDGclHCbitv,67ffc3231d938da45ddcde24,67fec1eb88ef3de9adf44551,68014b137d6f93ed1fdfa43c,false,false,Thu Apr 17 2025 18:40:19 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 16:33:15 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 16:33:15 GMT+0000 (Coordinated Universal Time),audiusmusic,recYDCnkuGT3yoKep,Yes,,recJ7CQaS6poBg1u9,002
[Spotify] Decentralized,recAXKnPfKx84nMWo,67ffc3231d938da45ddcde24,67fec1eb88ef3de9adf44551,68014b54dd110a4737dce4a9,false,false,Thu Apr 17 2025 18:41:24 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 16:33:17 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 16:33:17 GMT+0000 (Coordinated Universal Time),spotify,recLYyQOJiPcoEmkQ,No,,recDOXbdWkXAkSPD2,014
[Spotify] Developer SDK,rec3rO2fQtvMDs5Lh,67ffc3231d938da45ddcde24,67fec1eb88ef3de9adf44551,68014b655cd55e369a874c55,false,false,Thu Apr 17 2025 18:41:41 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 16:33:19 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 16:33:19 GMT+0000 (Coordinated Universal Time),spotify,recBbrqR317WzI3on,Yes,,recBfcV6UaDWtnYFu,015
[Spotify] Remix Features,recXvsqqvEUIU1pAH,67ffc3231d938da45ddcde24,67fec1eb88ef3de9adf44551,68014b3e4f70f76d0a3ee5f6,false,false,Thu Apr 17 2025 18:41:02 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 16:33:26 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 16:33:26 GMT+0000 (Coordinated Universal Time),spotify,rec2a3kNcDEF6XqN7,No,,receO8KENuVBYQa50,009
[Audius Music] Ad-Free Listening,rec6zX60bzOBp5m1Q,67ffc3231d938da45ddcde24,67fec1eb88ef3de9adf44551,68014b2a6a6fd9ee2f5e0268,false,false,Thu Apr 17 2025 18:40:42 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 16:33:31 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 16:33:31 GMT+0000 (Coordinated Universal Time),audiusmusic,recH1SaEa6vxhiI1i,Yes,,recfl6HFy6hT8cUVK,004
[Spotify] Unlimited Uploads,recTh6b4hWHpKlAys,67ffc3231d938da45ddcde24,67fec1eb88ef3de9adf44551,68014b192c1ed2ff9fa83aad,false,false,Thu Apr 17 2025 18:40:25 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 16:33:33 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 16:33:33 GMT+0000 (Coordinated Universal Time),spotify,recYDCnkuGT3yoKep,No,No UGC upload,recpDWOus5AiqVjau,002
[Spotify] Rewards System,recFddriZLCjrlQ87,67ffc3231d938da45ddcde24,67fec1eb88ef3de9adf44551,68014b456302ed7ae7a5a6f7,false,false,Thu Apr 17 2025 18:41:09 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 16:33:35 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 16:33:35 GMT+0000 (Coordinated Universal Time),spotify,recCzkCr6SvsPfREd,No,,rec5LQwKhgj7AG33X,011
[Audius Music] Scheduled Releases,recLyDEImXPIiAPeW,67ffc3231d938da45ddcde24,67fec1eb88ef3de9adf44551,6808124dd01578872e96f3e2,false,false,Tue Apr 22 2025 22:03:57 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 16:33:38 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 16:33:38 GMT+0000 (Coordinated Universal Time),audiusmusic,recc0t3WyRiUojoNW,Yes,,recLyDEImXPIiAPeW,007
[Audius Music] Offline Mode,recvqsPjetrSnFQIC,67ffc3231d938da45ddcde24,67fec1eb88ef3de9adf44551,68014b47a35b0efe930d4972,false,false,Thu Apr 17 2025 18:41:11 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 16:33:41 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 16:33:41 GMT+0000 (Coordinated Universal Time),audiusmusic,recAQeCfXGS85DzfQ,Yes,,rec8g0y9oWmfVRojm,008
[Audius Music] Direct Messages,recInKhchLmdtmPMD,67ffc3231d938da45ddcde24,67fec1eb88ef3de9adf44551,68014b2240e9a1d5904be4c9,false,false,Thu Apr 17 2025 18:40:34 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 16:33:44 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 16:33:44 GMT+0000 (Coordinated Universal Time),audiusmusic,recZ0h2evxkEYgYsl,Yes,,recqpwNvSgZv4Th8V,006
[Spotify] Gated Content,recBtlb404SPTeDo0,67ffc3231d938da45ddcde24,67fec1eb88ef3de9adf44551,68014b6d656e137a59dcaa01,false,false,Thu Apr 17 2025 18:41:49 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 16:33:44 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 16:33:44 GMT+0000 (Coordinated Universal Time),spotify,recnqk9KMsEVMemTK,No,,recTosfniDrTzMBbY,010
[Soundcloud] Rewards System,recrxjl1sWhKMnLlc,67ffc3231d938da45ddcde24,67fec1eb88ef3de9adf44551,68014b43658ed7179e46bc5e,false,false,Thu Apr 17 2025 18:41:07 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 16:33:46 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 16:33:46 GMT+0000 (Coordinated Universal Time),soundcloud,recCzkCr6SvsPfREd,No,,recQ15m3TSWdEZ3Jr,011
[Audius Music] Remix Features,recUKhtyGm5kQCnUY,67ffc3231d938da45ddcde24,67fec1eb88ef3de9adf44551,68014b3ae27fea942d62cc52,false,false,Thu Apr 17 2025 18:40:58 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 16:33:47 GMT+0000 (Coordinated Universal Time),Fri Apr 25 2025 16:33:47 GMT+0000 (Coordinated Universal Time),audiusmusic,rec2a3kNcDEF6XqN7,Yes,,rechqKpDqpUSJKpYe,009
